source,target,weight,alpha_out,alpha_in
FR,RE,9009,0.8007,0.0001
FR,RU,60190,0.2245,0.0795
FR,SE,30460,0.4708,0.0312
FR,TN,32455,0.4481,0.0
FR,UA,32834,0.4439,0.0684
FR,US,2142271,-0.0,0.0001
FR,ZA,10372,0.7742,0.0313
GB,AE,4809,0.9304,0.0499
GB,AR,27639,0.6604,0.0292
GB,AT,19342,0.7481,0.0398
GB,AU,74257,0.3268,0.0009
GB,BD,7029,0.9,0.0087
GB,BE,37026,0.5734,0.0046
GB,BG,10980,0.8482,0.017
GB,BR,32288,0.6157,0.0076
GB,CA,125066,0.151,0.0011
GB,CH,70376,0.3466,0.0041
GB,CY,6682,0.9047,0.0148
GB,CZ,31108,0.6268,0.0254
GB,DE,511982,0.0004,0.0
GB,DK,39261,0.5544,0.0007
GB,EE,7151,0.8983,0.0303
GB,ES,80598,0.2969,0.0009
GB,FI,19454,0.7468,0.0671
GB,FR,198354,0.0491,0.0
GB,GR,13548,0.8161,0.0114
GB,HR,8866,0.8755,0.0039
GB,HU,15750,0.7896,0.005
GB,IE,34149,0.5987,0.0004
GB,IL,83797,0.2828,0.0009
GB,IN,224582,0.0328,0.0001
GB,IR,15395,0.7938,0.0327
GB,IS,2940,0.9569,0.0857
GB,IT,68433,0.3569,0.0004
GB,JP,37483,0.5694,0.0512
GB,KE,15114,0.7971,0.0007
GB,LT,8075,0.886,0.0055
GB,MT,2581,0.9621,0.0061
GB,MY,6277,0.9102,0.0772
GB,NG,20564,0.7345,0.0017
GB,NL,131426,0.1371,0.0003
GB,NO,45119,0.5075,0.0016
GB,NZ,14071,0.8097,0.0431
GB,PK,8526,0.88,0.0319
GB,PL,71999,0.3382,0.0009
GB,PT,28832,0.6486,0.0008
GB,RO,24739,0.6898,0.0033
GB,RS,7547,0.893,0.0487
GB,RU,87764,0.2663,0.0244
GB,RW,4159,0.9396,0.0487
GB,SA,2816,0.9587,0.0719
GB,SE,60783,0.4007,0.0008
GB,SG,25923,0.6776,0.0564
GB,SI,4764,0.9311,0.0853
GB,TR,21908,0.7198,0.0033
GB,UA,37592,0.5685,0.0461
GB,US,4695256,-0.0,0.0
GB,ZA,18054,0.7627,0.0021
GD,TT,1103,0.0384,0.0198
GE,AM,3852,0.5451,0.0896
GE,BY,20371,0.0369,0.0131
GE,DE,15192,0.0872,0.7506
GE,RU,88262,0.0,0.0239
GE,SI,5262,0.4357,0.0655
GE,US,95125,0.0,0.6689
GH,NG,16192,0.0002,0.007
GH,US,19346,0.0,0.9215
GI,GB,3432,0.0004,0.9105
GM,MA,759,0.0491,0.5022
GR,DE,44339,0.0146,0.4322
GR,GB,51462,0.0072,0.2435
GR,NL,30908,0.0546,0.1564
GR,US,251298,0.0,0.3449
GT,US,26606,0.0,0.8937
HK,AU,37331,0.4176,0.0307
HK,CN,1076455,0.0,0.0
HK,JP,102353,0.0882,0.0002
HK,NZ,11222,0.7702,0.0829
HK,SG,67352,0.2048,0.0004
HK,TW,48419,0.3213,0.0006
HK,US,735480,0.0,0.0436
HK,VN,23490,0.5782,0.0048
HN,US,11413,0.0,0.9529
HR,DE,28819,0.0104,0.58
HR,GB,20276,0.0426,0.5742
HR,US,105449,0.0,0.6403
HT,ES,1849,0.0456,0.855
HU,DE,58663,0.0031,0.3292
HU,GB,41803,0.0174,0.3178
HU,US,282848,-0.0,0.3017
ID,DE,18736,0.0488,0.702
ID,IN,55355,0.0001,0.0966
ID,NL,20581,0.0359,0.2918
ID,RU,18906,0.0474,0.4547
ID,SG,33329,0.0042,0.0243
ID,US,128678,0.0,0.5803
IE,DE,45119,0.0888,0.4258
IE,FI,33521,0.1673,0.0089
IE,GB,122844,0.001,0.0335
IE,NO,18738,0.371,0.0728
IE,US,531498,0.0,0.1045
IL,DE,52951,0.0189,0.3669
IL,GB,49386,0.0249,0.2579
IL,IN,37696,0.0608,0.2045
IL,PS,3406,0.7803,0.0022
IL,US,548378,-0.0,0.0972
IM,GB,2552,0.0139,0.9327
IN,AE,18626,0.6162,0.0
IN,AM,5975,0.8563,0.0222
IN,AU,42017,0.3344,0.0197
IN,BD,9391,0.7836,0.0015
IN,BE,45188,0.3077,0.0014
IN,BG,14182,0.6918,0.0049
IN,BH,1671,0.9576,0.0063
IN,BR,25487,0.5152,0.0217
IN,CA,115914,0.0473,0.0018
IN,DE,211499,0.0036,0.0174
IN,ES,29089,0.469,0.0827
IN,FR,56090,0.2311,0.0645
IN,GB,209622,0.0038,0.0029
IN,ID,16656,0.6486,0.0049
IN,IE,11897,0.7342,0.0761
IN,IL,53466,0.2476,0.0118
IN,IT,25697,0.5124,0.0588
IN,KR,15076,0.6759,0.0494
IN,LK,11355,0.7446,0.0003
IN,MU,729,0.9813,0.0667
IN,NG,15968,0.6604,0.0076
IN,NL,49101,0.2777,0.0517
IN,NP,10882,0.7538,0.0002
IN,OM,991,0.9746,0.0217
IN,PH,6852,0.8371,0.0674
IN,PK,18643,0.6159,0.0004
IN,RO,23642,0.5407,0.0044
IN,RS,14693,0.6827,0.0024
IN,SA,4606,0.8873,0.0119
IN,SG,55028,0.2376,0.0019
IN,SI,5563,0.8656,0.0558
IN,SV,2984,0.9255,0.0664
IN,TH,7133,0.831,0.0584
IN,TR,11338,0.7449,0.0544
IN,US,2558361,0.0,0.0
IN,ZA,13355,0.7068,0.0112
IQ,US,7788,0.0002,0.9676
IR,DE,32535,0.0001,0.5406
IR,FR,10432,0.071,0.6034
IR,GB,11759,0.05,0.7251
IR,NL,17253,0.0112,0.3564
IR,US,38188,0.0,0.851
IS,GB,4211,0.0664,0.8913
IS,US,18301,0.0,0.9256
IT,CH,62901,0.0587,0.0074
IT,CZ,27878,0.2882,0.0375
IT,DE,229161,0.0,0.0123
IT,ES,39432,0.1711,0.0336
IT,FI,21414,0.3852,0.0508
IT,FR,66419,0.0499,0.0387
IT,GB,139625,0.0016,0.0209
IT,IE,11355,0.6039,0.0858
IT,NL,58965,0.0703,0.0282
IT,PT,15957,0.4918,0.0209
IT,US,784188,-0.0,0.0354
JE,US,5742,0.0007,0.976
JM,US,15640,0.0,0.9361
JO,CA,4887,0.0297,0.7711
JO,GB,4774,0.0324,0.8777
JO,US,14180,0.0,0.9419
JP,CN,393554,0.0,0.0002
JP,FR,59515,0.1652,0.0545
JP,HK,286579,0.0001,0.0
JP,KR,24620,0.4777,0.0067
JP,MM,2562,0.9264,0.0682
JP,SG,36080,0.3377,0.0177
JP,TW,28158,0.4293,0.0157
JP,US,978751,-0.0,0.0153
JP,VN,13665,0.6643,0.0483
KE,ET,2741,0.5289,0.0786
KE,GB,12756,0.0479,0.7056
KE,GH,2306,0.5855,0.0807
KE,IN,16825,0.0174,0.4936
KE,NG,25766,0.0017,0.0003
KE,RW,3487,0.4441,0.0818
KE,TZ,2223,0.597,0.0065
KE,US,100540,0.0,0.6537
KE,ZA,8520,0.1343,0.0588
KG,RU,20005,0.0,0.4342
KG,US,9130,0.0172,0.9622
KH,CH,7065,0.0336,0.5831
KH,US,18535,0.0,0.9247
KR,CN,43869,0.0126,0.4044
KR,HK,30892,0.0479,0.3201
KR,JP,29670,0.0543,0.0962
KR,US,237049,0.0,0.3665
KW,IN,3456,0.0559,0.8653
KW,US,5285,0.0075,0.9779
KY,US,10981,0.0004,0.9547
KZ,RU,89401,0.0,0.0227
KZ,US,21210,0.003,0.9143
LA,US,3534,0.0001,0.9852
LB,DE,4677,0.0791,0.9155
LB,US,15092,0.0001,0.9382
LK,IN,14421,0.0053,0.5461
LK,NO,6995,0.0872,0.38
LK,RU,7145,0.0826,0.743
LK,US,37144,0.0,0.8548
LT,DE,24259,0.0128,0.6323
LT,GB,19729,0.0299,0.5829
LT,RU,16199,0.0572,0.5092
LT,US,97493,0.0,0.6622
LU,BE,11590,0.022,0.193
LU,DE,15878,0.0047,0.741
LU,FR,12430,0.0164,0.5477
LU,GB,11789,0.0205,0.7245
LU,US,30046,0.0,0.8808
LV,DE,10798,0.0601,0.8156
LV,GB,11704,0.047,0.7262
LV,RU,17099,0.0105,0.4904
LV,US,36526,0.0,0.857
MA,DE,10682,0.0164,0.8174
MA,FR,21071,0.0002,0.3597
MA,US,35267,0.0,0.8616
MD,RO,9169,0.086,0.1279
MD,US,27872,0.0002,0.8889
ME,RU,19751,0.0001,0.4389
ME,US,20317,0.0001,0.9178
MG,FR,4704,0.005,0.7965
MK,GB,11403,0.0087,0.7322
MK,US,22201,0.0,0.9105
ML,US,2434,0.0744,0.9898
MM,SG,9683,0.0024,0.3463
MM,US,7310,0.0147,0.9696
MN,US,4180,0.0002,0.9825
MO,HK,2290,0.0722,0.9196
MQ,US,2728,0.0646,0.9885
MT,DE,6131,0.0411,0.8908
MT,US,30829,0.0,0.8779
MU,FR,5863,0.0376,0.7531
MU,US,9590,0.0026,0.9603
MV,US,2867,0.0149,0.988
MX,AR,38597,0.0275,0.0069
MX,CA,26572,0.0861,0.2416
MX,CO,30185,0.0613,0.0035
MX,CR,5297,0.618,0.062
MX,GB,26290,0.0884,0.4869
MX,IN,28500,0.0718,0.3017
MX,PE,11784,0.341,0.0083
MX,US,411763,-0.0,0.1742
MY,IN,19531,0.0399,0.4405
MY,SG,30759,0.0055,0.0326
MY,US,107731,0.0,0.6341
MZ,ZA,6192,0.0023,0.1292
NC,US,2474,0.0102,0.9896
NG,DE,15882,0.0203,0.7409
NG,ET,4475,0.3399,0.014
NG,GB,25018,0.002,0.5042
NG,GH,5652,0.2553,0.0012
NG,IN,32739,0.0003,0.2522
NG,KE,12954,0.0422,0.0022
NG,KW,4603,0.3295,0.0279
NG,US,135077,-0.0,0.5648
NG,ZA,7723,0.1538,0.0771
NG,ZM,810,0.8235,0.0631
NI,ES,3533,0.031,0.7412
NI,US,8052,0.0,0.9666
NL,AT,15200,0.6225,0.0804
NL,BE,61271,0.1458,0.0001
NL,BR,25907,0.4451,0.0204
NL,CA,45874,0.2374,0.0851
NL,DE,377230,0.0,0.0007
NL,DK,17250,0.5838,0.0465
NL,EG,7559,0.7902,0.0131
NL,ES,45024,0.2439,0.0206
NL,ET,4450,0.8706,0.0143
NL,FR,121387,0.0212,0.0024
NL,GB,184518,0.0027,0.0059
NL,GR,9496,0.7439,0.0455
NL,IE,15559,0.6155,0.0336
NL,IN,73177,0.0999,0.0451
NL,IR,34405,0.3408,0.0003
NL,IT,40450,0.2817,0.0111
NL,NO,25642,0.4488,0.0271
NL,PL,37878,0.3055,0.0266
NL,PT,14821,0.6299,0.0277
NL,RO,13479,0.6569,0.0476
NL,RU,137126,0.0127,0.0028
NL,SE,29113,0.4025,0.0365
NL,SI,6121,0.8264,0.0414
NL,TR,16520,0.5973,0.0139
NL,UA,46053,0.2361,0.0227
NL,US,1395790,-0.0,0.0025
NL,ZA,9529,0.7431,0.0417
NO,DE,71558,0.0038,0.2575
NO,GB,38113,0.0558,0.3518
NO,SE,29936,0.1053,0.0332
NO,US,299989,0.0,0.2805
NP,DE,47062,0.0001,0.4104
NP,IN,34025,0.0021,0.2389
NP,US,42541,0.0004,0.8355
NZ,AU,60228,0.0061,0.0034
NZ,DE,33266,0.0643,0.5332
NZ,GB,37585,0.0444,0.3569
NZ,US,320505,0.0,0.257
OM,IN,6127,0.0005,0.7736
PA,US,19272,0.0,0.9218
PA,VE,8972,0.0066,0.0307
PE,AR,26156,0.0082,0.0354
PE,CO,15810,0.0606,0.0555
PE,US,62705,0.0,0.7672
PF,US,6294,0.0453,0.9738
PH,IN,21322,0.0387,0.4085
PH,US,155822,0.0,0.5172
PH,VN,18426,0.061,0.016
PK,AE,7066,0.3404,0.0116
PK,DE,23492,0.0261,0.6416
PK,IN,32886,0.0058,0.2507
PK,KE,14518,0.1073,0.001
PK,US,282456,0.0,0.3022
PL,BY,43805,0.2796,0.0001
PL,CH,44828,0.2713,0.031
PL,CZ,21082,0.5429,0.0848
PL,DE,307581,0.0001,0.0026
PL,DK,16377,0.6224,0.0545
PL,FI,20506,0.5521,0.0578
PL,GB,229629,0.001,0.0016
PL,HU,8084,0.7916,0.07
PL,IE,14421,0.6588,0.0434
PL,IL,78590,0.1002,0.0013
PL,IN,59690,0.1753,0.0803
PL,LT,4687,0.8734,0.0533
PL,NL,55508,0.1982,0.0349
PL,NO,41001,0.3036,0.0029
PL,PT,10474,0.7387,0.0808
PL,RU,89025,0.0734,0.0231
PL,TR,10883,0.73,0.0612
PL,UA,100584,0.052,0.0002
PL,US,1352102,0.0,0.003
PR,US,42378,0.0,0.8361
PS,GB,4650,0.0793,0.8807
PS,IL,12378,0.0004,0.3653
PS,JO,2854,0.2214,0.0281
PT,BR,40973,0.0841,0.002
PT,DE,120492,0.0005,0.101
PT,ES,47752,0.0554,0.0162
PT,FR,42085,0.0786,0.1286
PT,GB,111269,0.001,0.0463
PT,IL,38800,0.0961,0.0408
PT,RO,11858,0.4929,0.0691
PT,US,495821,0.0,0.1217
PY,US,10731,0.0013,0.9557
QA,GB,2135,0.0574,0.9434
QA,IN,2723,0.023,0.8923
QA,US,4446,0.001,0.9814
RE,FR,14014,0.0072,0.5071
RO,DE,127008,0.0001,0.0891
RO,GB,75389,0.0052,0.1256
RO,IN,44496,0.0475,0.1533
RO,MD,4226,0.7538,0.0142
RO,UG,6482,0.6478,0.0026
RO,US,369492,0.0,0.2086
RS,AL,6358,0.3796,0.0029
RS,BA,7762,0.3058,0.0021
RS,DE,44054,0.0008,0.4345
RS,GB,19029,0.0523,0.5942
RS,HU,10403,0.2032,0.0318
RS,RU,39307,0.0019,0.1929
RS,US,134883,0.0,0.5652
RU,AE,8476,0.7179,0.0046
RU,AM,15125,0.5531,0.0
RU,BG,14136,0.575,0.005
RU,BY,61667,0.087,0.0
RU,CY,7270,0.7526,0.01
RU,DE,199999,0.0003,0.0218
RU,EE,12581,0.6112,0.0018
RU,FI,36022,0.2423,0.0061
RU,FR,56209,0.1083,0.0641
RU,GB,98852,0.0193,0.0654
RU,GE,20654,0.4449,0.0
RU,IE,19941,0.4576,0.0125
RU,IN,62568,0.0839,0.071
RU,KG,4510,0.8385,0.0033
RU,KZ,16404,0.5259,0.0
RU,LT,4250,0.847,0.0707
RU,LV,9649,0.6857,0.0044
RU,MD,3153,0.8842,0.0454
RU,ME,4380,0.8428,0.0007
RU,NL,44256,0.1746,0.0695
RU,PK,18464,0.485,0.0005
RU,PL,32110,0.283,0.0466
RU,RS,6190,0.7851,0.0849
RU,TH,17754,0.4987,0.0006
RU,TR,23153,0.4032,0.0023
RU,UA,110791,0.0118,0.0001
RU,US,844117,-0.0,0.0273
RU,UZ,5575,0.8043,0.0002
RW,NG,11242,0.0027,0.0333
RW,US,11617,0.0022,0.9521
SA,EG,7203,0.0297,0.0162
SA,GB,8823,0.0126,0.7857
SA,US,25188,0.0,0.8991
SE,BE,29989,0.2497,0.0132
SE,DE,151095,0.0007,0.0561
SE,DK,33983,0.2071,0.002
SE,FI,26511,0.2937,0.0245
SE,GB,108050,0.0059,0.0506
SE,IT,22988,0.3461,0.0796
SE,NO,58532,0.0649,0.0002
SE,PK,6095,0.756,0.0867
SE,US,728785,0.0,0.0449
SG,AU,26176,0.3653,0.0882
SG,CN,244378,0.0,0.0054
SG,HK,204039,0.0002,0.0004
SG,ID,51168,0.1376,0.0
SG,IN,61952,0.0899,0.0729
SG,JP,40426,0.2097,0.0403
SG,LK,6530,0.779,0.0143
SG,MM,4823,0.8316,0.0029
SG,MY,15675,0.5481,0.0012
SG,PH,6693,0.7741,0.0718
SG,TH,12820,0.6118,0.0054
SG,US,778638,0.0,0.0362
SG,VN,34632,0.2629,0.0003
SI,DE,16255,0.0357,0.7357
SI,US,124755,0.0,0.59
SK,CZ,51529,0.0006,0.002
SK,DE,27590,0.0227,0.5937
SK,US,108691,0.0,0.6315
SN,US,8883,0.0004,0.9632
SV,US,11357,0.0001,0.9532
SY,AE,1865,0.0696,0.318
TH,DE,30774,0.0054,0.5589
TH,IN,18842,0.0431,0.4534
TH,RU,34017,0.003,0.2411
TH,US,149481,0.0,0.5313
TJ,RU,2445,0.0212,0.9034
TN,DE,8467,0.0256,0.8523
TN,FR,17588,0.0002,0.4262
TN,US,15168,0.0009,0.9379
TR,DE,58466,0.0014,0.3304
TR,GB,46452,0.0057,0.2796
TR,IN,30707,0.0342,0.2749
TR,LA,578,0.9397,0.0453
TR,RU,79461,0.0001,0.0349
TR,UA,25998,0.058,0.1204
TR,US,294073,-0.0,0.2876
TT,US,8207,0.0,0.9659
TW,CN,141773,0.0001,0.051
