source,destination,weight,alpha_out,alpha_in
NC,US,0.7339805825242719,0.0188,0.2066
NG,AF,0.0006674090128318164,0.9524,0.0427
NG,BD,0.003333532385144178,0.7837,0.0493
NG,BJ,0.0013348180256636329,0.9071,0.0179
NG,CM,0.003842870842305301,0.755,0.0154
NG,DE,0.04891054260352743,0.0257,0.5958
NG,GB,0.07738431869834167,0.0028,0.402
NG,IN,0.10203630002494002,0.0004,0.203
NG,KE,0.03756107670637165,0.0611,0.5364
NG,MW,0.00042854683981832423,0.9692,0.0284
NG,US,0.4255364739025513,-0.0,0.4015
NI,ES,0.2728185328185328,0.0413,0.0001
NI,ID,0.02888030888030888,0.746,0.0
NI,PA,0.008185328185328185,0.9211,0.0001
NI,US,0.5627027027027027,0.0003,0.2989
NL,DE,0.1222719453682368,0.0,0.2729
NL,FR,0.04026352028604855,0.0238,0.6087
NL,GB,0.061377295579547186,0.0031,0.4856
NL,RU,0.04405959057107211,0.0166,0.5676
NL,SY,0.0009271690378769052,0.9191,0.0846
NL,US,0.45223730780034,-0.0,0.3791
NO,DE,0.11614064948678297,0.0044,0.2914
NO,GB,0.06034754150536742,0.0646,0.4916
NO,IE,0.012189552997830892,0.583,0.0298
NO,PL,0.03825689565106086,0.1797,0.0411
NO,SE,0.048516046897000266,0.1121,0.0076
NO,US,0.47558629899086347,0.0,0.3606
NP,DE,0.2915569398585694,0.0001,0.0442
NP,IN,0.20607028753993611,0.002,0.0391
NP,US,0.2535524750357587,0.0004,0.5809
NZ,AU,0.10378313356197713,0.0072,0.1188
NZ,DE,0.06241313936241859,0.055,0.5163
NZ,GB,0.06849776352106261,0.041,0.4465
NZ,US,0.5699868030224582,0.0,0.2943
OM,EG,0.035193611291670535,0.6989,0.0107
OM,IN,0.5532547126009844,0.0003,0.0001
OM,PK,0.018664685671835823,0.8283,0.0175
PA,CO,0.03195509927797834,0.5573,0.0853
PA,CR,0.0667023916967509,0.2886,0.0
PA,SI,0.012268727436823104,0.8008,0.0223
PA,US,0.5047664711191335,0.0,0.3386
PA,VE,0.21945509927797835,0.0116,0.0
PE,AR,0.1426927264958443,0.0213,0.001
PE,CL,0.034038124905239074,0.4207,0.0084
PE,CO,0.08860663533238687,0.0983,0.0008
PE,EC,0.009593251643671348,0.7859,0.0217
PE,MX,0.07125332524706758,0.1576,0.0165
PE,US,0.39115243070391864,0.0,0.4323
PF,FR,0.32617168932408025,0.2062,0.0169
PF,PL,0.029755680197737427,0.8862,0.0844
PF,US,0.5481509649206199,0.0417,0.3084
PH,GU,0.00043888377227252023,0.9787,0.0312
PH,IN,0.0654734791181096,0.0362,0.3602
PH,US,0.4628195622466859,0.0,0.3706
PH,VN,0.05281899701758527,0.07,0.0
PK,BD,0.003514743423730068,0.7788,0.0415
PK,DE,0.04941220540900514,0.0274,0.5926
PK,IN,0.06590606385733841,0.0079,0.3578
PK,US,0.5998742091827297,-0.0,0.2759
PL,DE,0.11026672046526512,0.0001,0.3102
