source,destination,weight,alpha_out,alpha_in
RU,MX,7.45182223652793,0.4154,0.3536
RU,MY,6.1463292576688975,0.4848,0.418
RU,NG,7.289610521451167,0.4234,0.344
RU,NL,10.573954469372852,0.2866,0.2718
RU,NO,8.862483576488332,0.3513,0.3055
RU,NP,6.082218910376446,0.4885,0.3933
RU,NZ,6.948897222313312,0.4409,0.3861
RU,PA,4.74493212836325,0.5721,0.4339
RU,PH,6.456769655572163,0.4673,0.3975
RU,PK,9.765776006660642,0.3156,0.2342
RU,PL,10.269449240866592,0.2972,0.2786
RU,PS,4.68213122712422,0.5764,0.4598
RU,PT,8.827468112520654,0.3528,0.2919
RU,RO,9.081369990679223,0.3423,0.2884
RU,RS,8.51097389160232,0.3663,0.2965
RU,SE,9.880065382591635,0.3113,0.2829
RU,SG,9.43276366396591,0.3283,0.2896
RU,SI,7.246368080102461,0.4256,0.3471
RU,SK,8.379539026117442,0.3721,0.3084
RU,TH,9.494240301132503,0.3259,0.2513
RU,TJ,4.74493212836325,0.5721,0.435
RU,TR,9.871842074700583,0.3116,0.2534
RU,TW,8.460411177317253,0.3685,0.3246
RU,UA,11.561915609142327,0.2548,0.2427
RU,UG,4.820281565605037,0.5671,0.464
RU,US,13.595833491443122,0.1999,0.2462
RU,UY,4.820281565605037,0.5671,0.4803
RU,UZ,8.454679286026995,0.3688,0.2323
RU,VN,8.130942302231878,0.3832,0.3201
RU,ZA,8.594154232552366,0.3627,0.3005
RW,AE,4.6443908991413725,0.4984,0.4787
RW,BE,4.68213122712422,0.4955,0.5368
RW,CD,5.6937321388027,0.4237,0.4013
RW,DE,6.530877627725885,0.3718,0.4811
RW,EG,5.293304824724492,0.4509,0.4386
RW,ET,5.44673737166631,0.4403,0.3979
RW,GB,6.824373670043086,0.355,0.4572
RW,GH,4.927253685157205,0.4772,0.4535
RW,IN,7.224753405767971,0.3333,0.4166
RW,KE,8.35490952835879,0.2784,0.268
RW,NG,9.26955223160803,0.2402,0.2566
RW,NO,4.795790545596741,0.4869,0.5277
RW,PK,5.43372200355424,0.4412,0.4476
RW,UG,7.351158226430694,0.3267,0.3075
RW,US,9.241257474610904,0.2414,0.3861
SA,AU,4.74493212836325,0.4745,0.5425
SA,BH,5.298317366548036,0.4343,0.4258
SA,BR,4.77912349311153,0.4719,0.5206
SA,CA,7.822044008185619,0.2887,0.3819
SA,CH,5.389071729816501,0.428,0.4975
SA,DE,7.509335266016592,0.3038,0.431
SA,DZ,4.867534450455582,0.4653,0.4182
SA,EC,4.61512051684126,0.4844,0.4886
SA,EG,8.806424063857868,0.2457,0.2519
SA,ES,4.852030263919617,0.4664,0.5478
SA,FR,7.037905963447182,0.328,0.4267
SA,GB,8.988071438072634,0.2385,0.3564
SA,IN,8.369388996647842,0.264,0.3624
SA,JP,5.402677381872279,0.4271,0.5092
SA,MY,5.655991810819852,0.41,0.4484
SA,NG,4.795790545596741,0.4706,0.4965
SA,NL,5.541263545158426,0.4177,0.5063
SA,PK,6.654152520183219,0.3491,0.3731
SA,PL,5.726847747587197,0.4054,0.4915
SA,PS,5.966146739123692,0.3901,0.3675
SA,RU,5.602118820879701,0.4136,0.5252
SA,SD,5.68697535633982,0.408,0.3843
SA,US,10.030912840791366,0.2008,0.3559
SA,UY,4.624972813284271,0.4837,0.495
SC,CN,5.942799375126701,0.3792,0.4805
SC,DE,7.0967213784947605,0.309,0.4515
SC,HK,6.760414691083428,0.3282,0.4138
SC,RO,4.736198448394496,0.4669,0.5244
SC,RU,4.762173934797756,0.4649,0.5786
SC,US,6.340359303727752,0.3536,0.5208
SC,VE,5.58724865840025,0.4035,0.4524
SC,ZA,4.718498871295094,0.4683,0.5183
SD,GB,5.030437921392435,0.4487,0.5619
SD,NG,4.844187086458591,0.4652,0.493
SD,SA,5.3612921657094255,0.4201,0.4321
SE,AE,6.548219102762372,0.4445,0.353
SE,AR,7.890582534656536,0.376,0.3499
SE,AT,8.563504094279487,0.3457,0.3104
SE,AU,9.547026871355778,0.3056,0.291
SE,BD,5.384495062789089,0.5138,0.4279
SE,BE,10.226910733640675,0.2806,0.2553
SE,BG,7.760893195851024,0.3821,0.3256
SE,BR,8.93260863037757,0.3301,0.2941
SE,BS,5.442417710521793,0.5101,0.474
SE,BY,7.792348924113037,0.3806,0.3284
SE,CA,10.307284603543595,0.2778,0.2808
SE,CH,9.515469358031684,0.3068,0.2905
SE,CN,9.015662792972645,0.3266,0.3277
SE,CO,7.217443431696533,0.409,0.3537
SE,CZ,7.99799931797973,0.371,0.3534
SE,DE,11.840760508195778,0.2291,0.2646
SE,DK,10.335497215866404,0.2768,0.2536
SE,EE,7.424761761823209,0.3985,0.3413
SE,EG,6.565264970035361,0.4436,0.359
SE,ES,9.643744848773588,0.3019,0.3012
SE,FI,10.119968960976788,0.2844,0.2687
SE,FR,10.534732733279633,0.27,0.2789
SE,GB,11.515911003810594,0.2387,0.2663
